1.0 [0^ 9^ 0 9]
1.0 [1^ 8^ 0 9]
1.0 [1^ 11^ 0 9]
1.0 [2^ 7^ 0 9]
1.0 [2^ 10^ 0 9]
1.0 [3^ 6^ 0 9]
1.0 [4^ 8^ 0 9]
1.0 [4^ 11^ 0 9]
1.0 [5^ 7^ 0 9]
1.0 [5^ 10^ 0 9]
1.0 [1^ 8^ 1 8]
1.0 [1^ 11^ 1 8]
1.0 [2^ 7^ 1 8]
1.0 [2^ 10^ 1 8]
1.0 [3^ 6^ 1 8]
1.0 [4^ 8^ 1 8]
1.0 [4^ 11^ 1 8]
1.0 [5^ 7^ 1 8]
1.0 [5^ 10^ 1 8]
1.0 [1^ 11^ 1 11]
1.0 [2^ 7^ 1 11]
1.0 [2^ 10^ 1 11]
1.0 [3^ 6^ 1 11]
1.0 [4^ 8^ 1 11]
1.0 [4^ 11^ 1 11]
1.0 [5^ 7^ 1 11]
1.0 [5^ 10^ 1 11]
1.0 [2^ 7^ 2 7]
1.0 [2^ 10^ 2 7]
1.0 [3^ 6^ 2 7]
1.0 [4^ 8^ 2 7]
1.0 [4^ 11^ 2 7]
1.0 [5^ 7^ 2 7]
1.0 [5^ 10^ 2 7]
1.0 [2^ 10^ 2 10]
1.0 [3^ 6^ 2 10]
1.0 [4^ 8^ 2 10]
1.0 [4^ 11^ 2 10]
1.0 [5^ 7^ 2 10]
1.0 [5^ 10^ 2 10]
1.0 [3^ 6^ 3 6]
1.0 [4^ 8^ 3 6]
1.0 [4^ 11^ 3 6]
1.0 [5^ 7^ 3 6]
1.0 [5^ 10^ 3 6]
1.0 [4^ 8^ 4 8]
1.0 [4^ 11^ 4 8]
1.0 [5^ 7^ 4 8]
1.0 [5^ 10^ 4 8]
1.0 [4^ 11^ 4 11]
1.0 [5^ 7^ 4 11]
1.0 [5^ 10^ 4 11]
1.0 [5^ 7^ 5 7]
1.0 [5^ 10^ 5 7]
1.0 [5^ 10^ 5 10]
