1.0 [0^ 5^ 0 5]
1.0 [1^ 4^ 0 5]
1.0 [1^ 11^ 0 5]
1.0 [2^ 3^ 0 5]
1.0 [2^ 7^ 0 5]
1.0 [2^ 10^ 0 5]
1.0 [3^ 6^ 0 5]
1.0 [3^ 9^ 0 5]
1.0 [4^ 8^ 0 5]
1.0 [6^ 7^ 0 5]
1.0 [6^ 10^ 0 5]
1.0 [7^ 9^ 0 5]
1.0 [8^ 11^ 0 5]
1.0 [9^ 10^ 0 5]
1.0 [1^ 4^ 1 4]
1.0 [1^ 11^ 1 4]
1.0 [2^ 3^ 1 4]
1.0 [2^ 7^ 1 4]
1.0 [2^ 10^ 1 4]
1.0 [3^ 6^ 1 4]
1.0 [3^ 9^ 1 4]
1.0 [4^ 8^ 1 4]
1.0 [6^ 7^ 1 4]
1.0 [6^ 10^ 1 4]
1.0 [7^ 9^ 1 4]
1.0 [8^ 11^ 1 4]
1.0 [9^ 10^ 1 4]
1.0 [1^ 11^ 1 11]
1.0 [2^ 3^ 1 11]
1.0 [2^ 7^ 1 11]
1.0 [2^ 10^ 1 11]
1.0 [3^ 6^ 1 11]
1.0 [3^ 9^ 1 11]
1.0 [4^ 8^ 1 11]
1.0 [6^ 7^ 1 11]
1.0 [6^ 10^ 1 11]
1.0 [7^ 9^ 1 11]
1.0 [8^ 11^ 1 11]
1.0 [9^ 10^ 1 11]
1.0 [2^ 3^ 2 3]
1.0 [2^ 7^ 2 3]
1.0 [2^ 10^ 2 3]
1.0 [3^ 6^ 2 3]
1.0 [3^ 9^ 2 3]
1.0 [4^ 8^ 2 3]
1.0 [6^ 7^ 2 3]
1.0 [6^ 10^ 2 3]
1.0 [7^ 9^ 2 3]
1.0 [8^ 11^ 2 3]
1.0 [9^ 10^ 2 3]
1.0 [2^ 7^ 2 7]
1.0 [2^ 10^ 2 7]
1.0 [3^ 6^ 2 7]
1.0 [3^ 9^ 2 7]
1.0 [4^ 8^ 2 7]
1.0 [6^ 7^ 2 7]
1.0 [6^ 10^ 2 7]
1.0 [7^ 9^ 2 7]
1.0 [8^ 11^ 2 7]
1.0 [9^ 10^ 2 7]
1.0 [2^ 10^ 2 10]
1.0 [3^ 6^ 2 10]
1.0 [3^ 9^ 2 10]
1.0 [4^ 8^ 2 10]
1.0 [6^ 7^ 2 10]
1.0 [6^ 10^ 2 10]
1.0 [7^ 9^ 2 10]
1.0 [8^ 11^ 2 10]
1.0 [9^ 10^ 2 10]
1.0 [3^ 6^ 3 6]
1.0 [3^ 9^ 3 6]
1.0 [4^ 8^ 3 6]
1.0 [6^ 7^ 3 6]
1.0 [6^ 10^ 3 6]
1.0 [7^ 9^ 3 6]
1.0 [8^ 11^ 3 6]
1.0 [9^ 10^ 3 6]
1.0 [3^ 9^ 3 9]
1.0 [4^ 8^ 3 9]
1.0 [6^ 7^ 3 9]
1.0 [6^ 10^ 3 9]
1.0 [7^ 9^ 3 9]
1.0 [8^ 11^ 3 9]
1.0 [9^ 10^ 3 9]
1.0 [4^ 8^ 4 8]
1.0 [6^ 7^ 4 8]
1.0 [6^ 10^ 4 8]
1.0 [7^ 9^ 4 8]
1.0 [8^ 11^ 4 8]
1.0 [9^ 10^ 4 8]
1.0 [6^ 7^ 6 7]
1.0 [6^ 10^ 6 7]
1.0 [7^ 9^ 6 7]
1.0 [8^ 11^ 6 7]
1.0 [9^ 10^ 6 7]
1.0 [6^ 10^ 6 10]
1.0 [7^ 9^ 6 10]
1.0 [8^ 11^ 6 10]
1.0 [9^ 10^ 6 10]
1.0 [7^ 9^ 7 9]
1.0 [8^ 11^ 7 9]
1.0 [9^ 10^ 7 9]
1.0 [8^ 11^ 8 11]
1.0 [9^ 10^ 8 11]
1.0 [9^ 10^ 9 10]
